member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;3 x 3;36//100//13/(C);0.09523072078304408;0;0.0;153.48;0.021311483713827458;1709.1805;186.1198;0.09477654144495934;4.13;24.01;0.0007378386468578033;0.00428946874359706;0.09477654144495934;0.09523072078304408;24.01;1.8705757883140828
Column 1;3 x 3;36//100//14/(C);0.08793149133645994;0;0.0;169.11;0.02348178922885954;96.6299;1650.7595;0.08738009691107136;49.4;11.96;0.008825479214231352;0.0021366949676560115;0.08738009691107136;0.08793149133645994;11.96;0.9317820253326293
Column 1;3 x 3;36//2/3//11/(C);0.061316658820912265;0;0.0;165.75;0.023015236027931336;1130.2954;85.2959;0.06078695773149088;4.58;22.74;0.0008182326882829877;0.00406257889335265;0.06078695773149088;0.061316658820912265;22.74;1.7716323792695643
Column 1;3 x 3;36//2/3//12/(C);0.03219549988196352;0;0.0;181.38;0.02518554154296341;223.7484;407.3986;0.03156118837915118;48.94;13.22;0.008743298638552274;0.0023617982836465277;0.03156118837915118;0.03219549988196352;13.22;1.0299463524161672
Column 1;3 x 3;36//2/3//13/(C);0.05975223979103961;0;0.0;152.81;0.021218450783880467;1109.0093;76.8868;0.05930201713737165;4.13;24.01;0.0007378386468578033;0.00428946874359706;0.05930201713737165;0.05975223979103961;24.01;1.8705757883140828
Column 1;3 x 3;36//2/3//14/(C);0.031464293987688574;0;0.0;168.44;0.02338875629891254;202.4623;415.8077;0.03091726006647865;49.4;11.96;0.008825479214231352;0.0021366949676560115;0.03091726006647865;0.031464293987688574;11.96;0.9317820253326293
Column 1;3 x 3;36//6//11/(C);0.03052459035258898;0;0.0;165.01;0.02291248323963167;561.6844;38.2348;0.029999608464382578;4.58;22.74;0.0008182326882829877;0.00406257889335265;0.029999608464382578;0.03052459035258898;22.74;1.7716323792695643
Column 1;3 x 3;36//6//12/(C);0.07229696232127099;0;0.0;180.64;0.025082788754663746;555.4517;877.7303;0.0716678160295599;48.94;13.22;0.008743298638552274;0.0023617982836465277;0.0716678160295599;0.07229696232127099;13.22;1.0299463524161672
Column 1;3 x 3;36//6//13/(C);0.02765683620937421;0;0.0;152.15;0.02112680640512671;508.8381;35.3056;0.027210494260494506;4.13;24.01;0.0007378386468578033;0.00428946874359706;0.027210494260494506;0.02765683620937421;24.01;1.8705757883140828
Column 1;3 x 3;36//6//14/(C);0.06942146725070855;0;0.0;167.78;0.023297111920158788;502.6055;874.8012;0.06887871182688815;49.4;11.96;0.008825479214231352;0.0021366949676560115;0.06887871182688815;0.06942146725070855;11.96;0.9317820253326293
Column 1;3 x 3;44//7//11/(C);0.11859965617949189;0;0.0;183.57;0.025489634254282682;2225.2206;133.4912;0.11794993472507478;1.36;16.56;0.00024296865852944615;0.002958500724446785;0.11794993472507478;0.11859965617949189;16.56;1.2901597273836405
Column 1;3 x 3;44//7//12/(C);0.10304983778307113;0;0.0;186.65;0.025917308021800204;63.6265;1983.6871;0.10237813092797426;14.46;0.69;0.0025833285311292584;0.00012327086351861605;0.10237813092797426;0.10304983778307113;0.69;0.05375665530765168
Column 1;3 x 3;44//7//13/(C);0.11755177506561096;0;0.0;167.65;0.023279060754646686;2219.2134;120.6992;0.11700986039599243;1.23;16.49;0.0002197437132288373;0.002945994984669534;0.11700986039599243;0.11755177506561096;16.49;1.2847061536567772
Column 1;3 x 3;44//7//14/(C);0.10327942145207053;0;0.0;170.73;0.0237067345221642;57.6193;1996.4791;0.10271741219036616;14.59;0.62;0.0026065534764298666;0.00011076512374136514;0.10271741219036616;0.10327942145207053;0.62;0.04830308158078847
Column 1;3 x 3;44//2/3//11/(C);0.024978647415170845;0;0.0;179.89;0.024978647415170845;155.3677;36.8428;0.009611693946023412;1.36;16.56;0.00024296865852944615;0.002958500724446785;0.009611693946023412;0.010235626772714832;16.56;1.2901597273836405
Column 1;3 x 3;44//2/3//12/(C);0.025407709733881602;0;0.0;182.98;0.025407709733881602;22.1892;176.4074;0.009931037783684206;14.46;0.69;0.0025833285311292584;0.00012327086351861605;0.009931037783684206;0.010576589497605388;0.69;0.05375665530765168
Column 1;3 x 3;44//2/3//13/(C);0.0228166732072982;0;0.0;164.32;0.0228166732072982;157.5011;33.3652;0.009544475771146156;1.23;16.49;0.0002197437132288373;0.002945994984669534;0.009544475771146156;0.010065076347394796;16.49;1.2847061536567772
Column 1;3 x 3;44//2/3//14/(C);0.023245735526008955;0;0.0;167.41;0.023245735526008955;20.0558;172.9298;0.009650453659866115;14.59;0.62;0.0026065534764298666;0.00011076512374136514;0.009650453659866115;0.01019081788001127;0.62;0.04830308158078847
Column 1;3 x 3;44//106//11/(C);0.09598806239259523;0;0.0;176.21;0.024467660576059008;1698.7293;208.8266;0.09538939597853;1.36;16.56;0.00024296865852944615;0.002958500724446785;0.09538939597853;0.09598806239259523;16.56;1.2901597273836405
Column 1;3 x 3;44//106//12/(C);0.10825640225303791;0;0.0;179.3;0.024896722894769765;106.9032;2045.5661;0.10763655544213896;14.46;0.69;0.0025833285311292584;0.00012327086351861605;0.10763655544213896;0.10825640225303791;0.69;0.05375665530765168
Column 1;3 x 3;44//106//13/(C);0.09541539245375022;0;0.0;160.99;0.022354285659949718;1709.0034;189.0793;0.09491567836638358;1.23;16.49;0.0002197437132288373;0.002945994984669534;0.09491567836638358;0.09541539245375022;16.49;1.2847061536567772
Column 1;3 x 3;44//106//14/(C);0.10665438380932082;0;0.0;164.08;0.022783347978660475;96.6291;2025.8188;0.1061353028642041;14.59;0.62;0.0026065534764298666;0.00011076512374136514;0.1061353028642041;0.10665438380932082;0.62;0.04830308158078847
Column 1;3 x 3;45//106//11/(C);0.09593261426156918;0;0.0;166.48;0.023116600265037757;1698.9064;208.8263;0.09539823705375564;4.94;22.74;0.0008825479214231353;0.00406257889335265;0.09539823705375564;0.09593261426156918;22.74;1.7716323792695643
Column 1;3 x 3;45//106//12/(C);0.10828297889688394;0;0.0;182.11;0.025286905780069837;106.9033;2045.7059;0.10764355129295382;58.47;13.22;0.01044586578251229;0.0023617982836465277;0.10764355129295382;0.10828297889688394;13.22;1.0299463524161672
Column 1;3 x 3;45//106//13/(C);0.09537869877969396;0;0.0;153.48;0.021311483713827458;1709.1805;189.079;0.09492451944160922;4.49;24.01;0.0008021538799979508;0.00428946874359706;0.09492451944160922;0.09537869877969396;24.01;1.8705757883140828
Column 1;3 x 3;45//106//14/(C);0.10669369314040754;0;0.0;169.11;0.02348178922885954;96.6292;2025.9586;0.10614229871501896;58.02;11.96;0.010365471741087106;0.0021366949676560115;0.10614229871501896;0.10669369314040754;11.96;0.9317820253326293
Column 1;3 x 3;45//2/3//11/(C);0.06161677031959241;0;0.0;165.75;0.023015236027931336;1130.2975;91.2953;0.06108706923017102;4.94;22.74;0.0008825479214231353;0.00406257889335265;0.06108706923017102;0.06161677031959241;22.74;1.7716323792695643
Column 1;3 x 3;45//2/3//12/(C);0.04102615384019467;0;0.0;181.38;0.02518554154296341;223.749;583.9896;0.04039184233738233;58.47;13.22;0.01044586578251229;0.0023617982836465277;0.04039184233738233;0.04102615384019467;13.22;1.0299463524161672
Column 1;3 x 3;45//2/3//13/(C);0.06005235128971976;0;0.0;152.81;0.021218450783880467;1109.0114;82.8862;0.0596021286360518;4.49;24.01;0.0008021538799979508;0.00428946874359706;0.0596021286360518;0.06005235128971976;24.01;1.8705757883140828
Column 1;3 x 3;45//2/3//14/(C);0.039453940665081184;0;0.0;168.44;0.02338875629891254;202.463;575.5805;0.03890690674387126;58.02;11.96;0.010365471741087106;0.0021366949676560115;0.03890690674387126;0.039453940665081184;11.96;0.9317820253326293
Column 1;3 x 3;45//8//11/(C);0.02977681941088051;0;0.0;165.01;0.02291248323963167;561.6886;23.277;0.029251837522674108;4.94;22.74;0.0008825479214231353;0.00406257889335265;0.029251837522674108;0.02977681941088051;22.74;1.7716323792695643
Column 1;3 x 3;45//8//12/(C);0.06922114324917784;0;0.0;180.64;0.025082788754663746;555.4548;816.2183;0.06859199695746676;58.47;13.22;0.01044586578251229;0.0023617982836465277;0.06859199695746676;0.06922114324917784;13.22;1.0299463524161672
Column 1;3 x 3;45//8//13/(C);0.0269090702682739;0;0.0;152.15;0.02112680640512671;508.8424;20.3478;0.026462728319394196;4.49;24.01;0.0008021538799979508;0.00428946874359706;0.026462728319394196;0.0269090702682739;24.01;1.8705757883140828
Column 1;3 x 3;45//8//14/(C);0.06663859380580328;0;0.0;167.78;0.023297111920158788;502.6086;819.1474;0.06609583838198288;58.02;11.96;0.010365471741087106;0.0021366949676560115;0.06609583838198288;0.06663859380580328;11.96;0.9317820253326293
